# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, %, mbar, #, mm H2O, #, W/m^2
# field_type: datetime, float, float, float, float, float, float, float
# attribution: pt2050dashboard-dev.tacc.utexas.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: latest
# chords_version_sha: 9301241
# delimiter: ,
# instrument_name: iotwx-esip-pr01
# sensor_id: esippr01
# creation_date: 2022-03-14 20:10:39 +0000
# data collection site: Universidad de Puerto Rico Recinto Universitario de Mayagüez - Edificio Luis A. Stefani UPRM
# data collection longitude: -67.13889
# data collection latitude: 18.21083
# data collection elevation: 0.0 meters
# Measurements in File: 380
# Units of Measure: milliseconds, degC, %, mbar, #, mm H2O, #, W/m^2
Time,Temperature,Humidity,Pressure,Volatile Organic Compound,Precipitation,windspeed,UV-A Radiation
2021-10-07T12:56:49Z,,0,,,,,
2021-10-07T12:56:59Z,,0,,,,,
2021-10-07T12:57:00Z,,0,,,,,
2021-10-07T12:57:10Z,,0,,,,,
2021-10-07T12:57:11Z,,0,,,,,
2021-10-07T12:57:25Z,,0,,,,,
2021-10-07T12:57:26Z,,0,,,,,
2021-10-07T12:57:40Z,,0,,,,,
2021-10-07T12:57:41Z,,0,,,,,
2021-10-07T12:57:57Z,,0,,,,,
2021-10-07T12:57:58Z,,0,,,,,
2021-10-07T12:58:13Z,,0,,,,,
2021-10-07T12:58:14Z,,0,,,,,
2021-10-07T12:58:25Z,,0,,,,,
2021-10-07T12:58:26Z,,0,,,,,
2021-10-07T12:58:38Z,,0,,,,,
2021-10-07T12:58:39Z,,0,,,,,
2021-10-07T12:58:50Z,,0,,,,,
2021-10-07T12:58:51Z,,0,,,,,
2021-10-07T12:59:02Z,,0,,,,,
2021-10-07T12:59:03Z,,0,,,,,
2021-10-07T12:59:15Z,,0,,,,,
2021-10-07T12:59:16Z,,0,,,,,
2021-10-07T12:59:29Z,,0,,,,,
2021-10-07T12:59:30Z,,0,,,,,
2021-10-07T12:59:44Z,,0,,,,,
2021-10-07T12:59:45Z,,0,,,,,
2021-10-07T13:00:00Z,,0,,,,,
2021-10-07T13:00:01Z,,0,,,,,
2021-10-07T13:00:15Z,,0,,,,,
2021-10-07T13:00:16Z,,0,,,,,
2021-10-07T13:00:30Z,,0,,,,,
2021-10-07T13:00:31Z,,0,,,,,
2021-10-07T13:00:42Z,,0,,,,,
2021-10-07T13:00:43Z,,0,,,,,
2021-10-07T13:00:59Z,,0,,,,,
2021-10-07T13:01:00Z,,0,,,,,
2021-10-07T13:01:12Z,,0,,,,,
2021-10-07T13:01:13Z,,0,,,,,
2021-10-07T13:01:27Z,,0,,,,,
2021-10-07T13:01:28Z,,0,,,,,
2021-10-07T13:01:46Z,,0,,,,,
2021-10-07T13:01:47Z,,0,,,,,
2021-10-07T13:02:04Z,,0,,,,,
2021-10-07T13:02:05Z,,0,,,,,
2021-10-07T13:02:17Z,,0,,,,,
2021-10-07T13:02:18Z,,0,,,,,
2021-10-07T13:02:27Z,,0,,,,,
2021-10-07T13:02:28Z,,0,,,,,
2021-10-07T13:02:39Z,,0,,,,,
2021-10-07T13:02:40Z,,0,,,,,
2021-10-07T13:02:58Z,,0,,,,,
2021-10-07T13:02:59Z,,0,,,,,
2021-10-07T13:03:17Z,,0,,,,,
2021-10-07T13:03:18Z,,0,,,,,
2021-10-07T13:03:29Z,,0,,,,,
